Trace size is 64000

1 UPERIOD	60	48	44	40	37	36	31	32	172	156	0
2 UPERIOD	62	41	42	40	38	37	36	33	178	151	1
3 UPERIOD	63	53	48	40	36	41	33	39	180	173	1
4 UPERIOD	60	48	48	40	42	36	36	36	186	160	0
5 UPERIOD	55	53	45	41	42	35	39	31	181	160	0
6 UPERIOD	60	47	53	42	48	37	30	34	191	160	1
7 UPERIOD	59	46	51	44	43	36	34	33	187	159	1
8 UPERIOD	59	48	51	41	37	34	34	35	181	158	0
9 UPERIOD	59	50	52	45	42	39	37	30	190	164	0
10 UPERIOD	63	43	49	42	41	40	36	33	189	158	0
11 UPERIOD	59	50	53	44	42	43	33	33	187	170	0
12 UPERIOD	61	52	46	43	39	39	37	37	183	171	0
13 UPERIOD	61	53	48	43	37	36	31	33	177	165	0
14 UPERIOD	59	50	49	46	43	35	36	35	187	166	0
15 UPERIOD	61	52	50	42	43	40	34	30	188	164	0
Total trigger threshold is 4

1 UPERIOD	60	48	44	40	37	33	31	28	172	149	0
2 UPERIOD	62	42	42	40	38	35	36	29	178	146	0
3 UPERIOD	63	48	48	41	36	42	33	36	180	167	0
4 UPERIOD	60	49	48	40	42	36	36	35	186	160	0
5 UPERIOD	55	54	45	40	42	33	39	31	181	158	0
6 UPERIOD	60	47	53	38	48	37	30	37	191	159	0
7 UPERIOD	59	45	51	42	43	35	34	30	187	152	0
8 UPERIOD	59	46	51	43	37	38	34	30	181	157	0
9 UPERIOD	59	48	52	45	42	39	37	28	190	160	0
10 UPERIOD	63	45	49	40	41	40	36	29	189	154	0
11 UPERIOD	59	50	53	44	42	41	33	35	187	170	0
12 UPERIOD	61	51	46	43	39	39	37	33	183	166	0
13 UPERIOD	61	47	48	42	37	33	31	29	177	151	0
14 UPERIOD	59	50	49	43	43	34	36	34	187	161	0
15 UPERIOD	61	50	50	43	43	38	34	31	188	162	0
Total trigger threshold is 0
1 UPERIOD	60	53	44	46	37	41	31	28	172	168	3
2 UPERIOD	62	54	42	42	38	39	36	33	178	168	2
3 UPERIOD	63	53	48	38	36	42	33	35	180	168	0
4 UPERIOD	60	53	48	48	42	40	36	35	186	176	1
5 UPERIOD	55	62	45	44	42	27	39	35	181	168	2
6 UPERIOD	60	49	53	47	48	33	30	24	191	153	0
7 UPERIOD	59	57	51	46	43	26	34	30	187	159	2
8 UPERIOD	59	54	51	41	37	38	34	31	181	164	1
9 UPERIOD	59	68	52	48	42	34	37	30	190	180	1
10 UPERIOD	63	49	49	41	41	36	36	29	189	155	0
11 UPERIOD	59	58	53	49	42	38	33	33	187	178	1
12 UPERIOD	61	54	46	42	39	35	37	33	183	164	0
13 UPERIOD	61	47	48	42	37	36	31	36	177	161	0
14 UPERIOD	59	59	49	41	43	31	36	34	187	165	1
15 UPERIOD	61	53	50	48	43	34	34	29	188	164	0
Total trigger threshold is 14
