Trace size is 64000

1 UPERIOD	42	40	47	37	37	33	31	28	157	138	0
2 UPERIOD	39	38	43	38	43	32	31	30	156	138	0
3 UPERIOD	42	35	46	41	33	36	22	31	143	143	1
4 UPERIOD	51	43	44	31	28	36	31	34	154	144	0
5 UPERIOD	37	40	40	39	37	33	33	32	147	144	1
6 UPERIOD	44	35	44	40	36	38	27	32	151	145	1
7 UPERIOD	53	36	39	39	33	34	28	32	153	141	2
8 UPERIOD	54	38	39	41	37	36	29	30	159	145	0
9 UPERIOD	49	31	42	41	35	32	25	33	151	137	0
10 UPERIOD	49	38	43	41	35	35	29	25	156	139	2
11 UPERIOD	47	39	41	34	37	32	25	35	150	140	0
12 UPERIOD	48	42	39	37	28	36	27	33	142	148	0
13 UPERIOD	40	42	44	33	33	36	31	26	148	137	0
14 UPERIOD	41	35	43	36	39	40	27	26	150	137	1
15 UPERIOD	36	37	42	35	30	28	33	29	141	129	0
Total trigger threshold is 8

1 UPERIOD	42	37	47	34	37	30	31	34	157	135	0
2 UPERIOD	39	35	43	38	43	27	31	27	156	127	0
3 UPERIOD	42	31	46	38	33	33	22	29	143	131	0
4 UPERIOD	51	43	44	36	28	34	31	32	154	145	0
5 UPERIOD	37	37	40	39	37	35	33	31	147	142	0
6 UPERIOD	44	33	44	40	36	38	27	30	151	141	0
7 UPERIOD	53	35	39	38	33	33	28	32	153	138	0
8 UPERIOD	54	36	39	37	37	35	29	30	159	138	0
9 UPERIOD	49	28	42	38	35	31	25	31	151	128	0
10 UPERIOD	49	37	43	39	35	34	29	26	156	136	0
11 UPERIOD	47	36	41	31	37	29	25	32	150	128	0
12 UPERIOD	48	39	39	38	28	34	27	32	142	143	0
13 UPERIOD	40	43	44	33	33	38	31	28	148	142	0
14 UPERIOD	41	33	43	34	39	36	27	23	150	126	0
15 UPERIOD	36	38	42	33	30	25	33	32	141	128	0
Total trigger threshold is 0
1 UPERIOD	42	53	47	41	37	32	31	32	157	158	2
2 UPERIOD	39	59	43	42	43	31	31	24	156	156	2
3 UPERIOD	42	51	46	44	33	40	22	41	143	176	4
4 UPERIOD	51	45	44	47	28	46	31	32	154	170	3
5 UPERIOD	37	57	40	49	37	39	33	28	147	173	3
6 UPERIOD	44	56	44	50	36	35	27	36	151	177	3
7 UPERIOD	53	44	39	49	33	34	28	26	153	153	3
8 UPERIOD	54	45	39	49	37	39	29	30	159	163	3
9 UPERIOD	49	43	42	43	35	34	25	30	151	150	1
10 UPERIOD	49	53	43	38	35	39	29	32	156	162	3
11 UPERIOD	47	48	41	38	37	30	25	33	150	149	2
12 UPERIOD	48	49	39	48	28	40	27	44	142	181	4
13 UPERIOD	40	59	44	35	33	40	31	37	148	171	2
14 UPERIOD	41	45	43	37	39	43	27	31	150	156	3
15 UPERIOD	36	53	42	46	30	34	33	26	141	159	3
Total trigger threshold is 41
