Trace size is 64000

1 UPERIOD	69	61	58	49	47	44	39	37	213	191	0
2 UPERIOD	69	61	57	55	48	43	39	35	213	194	1
3 UPERIOD	69	58	57	50	48	46	39	37	213	191	0
4 UPERIOD	69	65	58	50	47	46	38	36	212	197	0
5 UPERIOD	70	63	58	53	48	44	37	38	213	198	0
6 UPERIOD	70	61	58	53	47	41	38	39	213	194	0
7 UPERIOD	70	59	58	53	47	45	38	37	213	194	0
8 UPERIOD	70	64	57	53	48	41	39	39	214	197	0
9 UPERIOD	68	63	58	55	48	45	39	33	213	196	0
10 UPERIOD	70	62	58	55	48	45	38	36	214	198	0
11 UPERIOD	70	61	57	51	48	43	38	40	213	195	1
12 UPERIOD	70	59	58	52	47	46	39	37	214	194	0
13 UPERIOD	70	61	58	50	48	45	39	37	215	193	0
14 UPERIOD	69	63	58	54	48	44	38	37	213	198	0
15 UPERIOD	70	64	58	51	48	43	39	38	215	196	0
Total trigger threshold is 2

1 UPERIOD	69	58	58	48	47	46	39	37	213	189	0
2 UPERIOD	69	56	57	52	48	43	39	35	213	186	0
3 UPERIOD	69	58	57	49	48	44	39	38	213	189	0
4 UPERIOD	69	64	58	49	47	42	38	36	212	191	0
5 UPERIOD	70	60	58	48	48	45	37	36	213	189	0
6 UPERIOD	70	61	58	49	47	42	38	39	213	191	0
7 UPERIOD	70	59	58	50	47	45	38	35	213	189	0
8 UPERIOD	70	60	57	49	48	41	39	38	214	188	0
9 UPERIOD	68	62	58	52	48	46	39	36	213	196	0
10 UPERIOD	70	63	58	53	48	41	38	34	214	191	0
11 UPERIOD	70	61	57	47	48	43	38	39	213	190	0
12 UPERIOD	70	61	58	51	47	42	39	35	214	189	0
13 UPERIOD	70	58	58	51	48	43	39	36	215	188	0
14 UPERIOD	69	60	58	53	48	43	38	36	213	192	0
15 UPERIOD	70	61	58	49	48	43	39	39	215	192	0
Total trigger threshold is 0
1 UPERIOD	69	59	58	55	47	39	39	34	213	187	0
2 UPERIOD	69	65	57	55	48	44	39	33	213	197	0
3 UPERIOD	69	63	57	45	48	50	39	37	213	195	0
4 UPERIOD	69	68	58	51	47	46	38	30	212	195	0
5 UPERIOD	70	63	58	50	48	44	37	38	213	195	0
6 UPERIOD	70	64	58	54	47	47	38	32	213	197	0
7 UPERIOD	70	66	58	53	47	45	38	32	213	196	0
8 UPERIOD	70	62	57	54	48	46	39	35	214	197	0
9 UPERIOD	68	61	58	50	48	50	39	30	213	191	0
10 UPERIOD	70	62	58	60	48	36	38	35	214	193	0
11 UPERIOD	70	69	57	50	48	44	38	30	213	193	1
12 UPERIOD	70	67	58	50	47	43	39	34	214	194	0
13 UPERIOD	70	58	58	54	48	47	39	36	215	195	0
14 UPERIOD	69	59	58	52	48	43	38	41	213	195	0
15 UPERIOD	70	66	58	47	48	50	39	39	215	202	0
Total trigger threshold is 1
